Step,Train Loss,Eval Loss,Accuracy,F1
4202,0.0315,0.01366,0.996529,0.996331
8404,0,0.024692,0.997362,0.997214
12606,0.0006,0.029725,0.997223,0.997065
16808,0.0002,0.023089,0.997362,0.997213
21010,0,0.02228,0.997779,0.997655
25212,0,0.025119,0.997362,0.997212
29414,0,0.028333,0.997501,0.99736
33616,0,0.031121,0.997362,0.997214
37818,0,0.034246,0.997362,0.997212
42020,0,0.034216,0.997362,0.997212
