Step,Train Loss,Eval Loss,Accuracy,F1
4202,0.000400,0.012438,0.995974,0.995751
8404,0.001000,0.014532,0.997779,0.997654
12606,0.000000,0.017989,0.998334,0.998240
16808,0.000000,0.076200,0.993336,0.992941
21010,0.000000,0.033994,0.994308,0.994005
25212,0.000000,0.020162,0.997362,0.997215
29414,0.000000,0.035140,0.997223,0.997065
33616,0.000000,0.038124,0.997085,0.996918
37818,0.000000,0.037216,0.997085,0.996918
42020,0.000000,0.026434,0.997918,0.997800
