Step,Train Loss,Eval Loss,Accuracy,F1
601,0.320300,0.306954,0.869638,0.862995
1202,0.215000,0.359650,0.858670,0.840971
1803,0.091400,0.342167,0.889074,0.880647
2404,0.030100,0.536876,0.881299,0.876329
3005,0.025700,0.963678,0.838817,0.812513
3606,0.023200,0.761493,0.887130,0.877392
4207,0.006200,0.661285,0.894072,0.886275
4808,0.015400,0.820575,0.885048,0.873770
5409,0.000600,0.780710,0.896154,0.887489
6010,0.000000,0.753427,0.902957,0.896661
