Step,Train Loss,Eval Loss,Accuracy,F1
4202,0.419500,0.078117,0.989449,0.988805
8404,0.006900,0.098902,0.989032,0.988376
12606,0.000000,0.019651,0.996668,0.996481
16808,0.000000,0.018377,0.997779,0.997653
21010,0.000000,0.028315,0.996946,0.996775
25212,0.000000,0.073471,0.991948,0.991469
29414,0.000000,0.016923,0.997501,0.997359
33616,0.000000,0.015864,0.996946,0.996776
37818,0.000000,0.016234,0.997779,0.997653
42020,0.000000,0.016317,0.997640,0.997506
