Step,Train Loss,Eval Loss,Accuracy,F1
4202,0.089900,0.057824,0.987922,0.987301
8404,0.189200,0.044114,0.995280,0.995017
12606,0.000000,0.044433,0.993614,0.993238
16808,0.000000,0.037197,0.995557,0.995309
21010,0.000000,0.033438,0.994863,0.994584
25212,0.000100,0.049368,0.994169,0.993844
29414,0.000000,0.105699,0.992087,0.991616
33616,0.000000,0.041461,0.996113,0.995891
37818,0.000000,0.023562,0.997085,0.996921
42020,0.000000,0.032635,0.996668,0.996479
