Step,Train Loss,Eval Loss,Accuracy,F1
4202,0.146600,0.201667,0.931556,0.925498
8404,0.222800,0.170906,0.957657,0.955389
12606,0.210800,0.159432,0.960572,0.958512
16808,0.014500,0.193122,0.961960,0.959600
21010,0.000100,0.283855,0.958073,0.955102
25212,0.000000,0.467204,0.949743,0.945773
29414,0.000000,0.271371,0.967375,0.965559
33616,0.000000,0.327796,0.963904,0.961675
37818,0.000000,0.354279,0.962654,0.960220
42020,0.000000,0.394751,0.962238,0.959702
