Step,Train Loss,Eval Loss,Accuracy,F1
4202,0.034600,0.052353,0.985700,0.984927
8404,0.000700,0.062613,0.982646,0.981755
12606,0.000000,0.112392,0.984590,0.983752
16808,0.106300,0.069848,0.988755,0.988124
21010,0.000000,0.073227,0.989449,0.988873
25212,0.143200,0.078374,0.990143,0.989604
29414,0.000000,0.079565,0.990837,0.990311
33616,0.000000,0.076129,0.990698,0.990183
37818,0.000000,0.081937,0.991115,0.990613
42020,0.000000,0.084696,0.990837,0.990311
