Step,Train Loss,Eval Loss,Accuracy,F1
601,0.444500,0.520057,0.746356,0.745938
1202,0.326400,0.422200,0.821186,0.816812
1803,0.168300,0.487362,0.827294,0.805340
2404,0.039800,0.725667,0.829793,0.823925
3005,0.076100,0.742037,0.837707,0.823463
3606,0.028900,1.216491,0.811467,0.808151
4207,0.003000,1.271679,0.825073,0.820291
4808,0.018200,1.234804,0.829238,0.824152
5409,0.006000,1.230972,0.837707,0.831597
6010,0.006200,1.273724,0.840344,0.833650
