Step,Train Loss,Eval Loss,Accuracy,F1
4202,0.378700,0.411960,0.816188,0.810913
8404,0.418500,0.344277,0.871581,0.868728
12606,0.253700,0.797812,0.772039,0.772003
16808,0.283300,0.461166,0.874913,0.872774
21010,0.284100,0.270382,0.923921,0.919615
25212,0.170300,0.355616,0.906011,0.903150
29414,0.397000,0.390320,0.903374,0.900695
33616,0.119900,0.355665,0.917673,0.914564
37818,0.178900,0.315409,0.925448,0.922152
42020,0.177200,0.366941,0.918645,0.915651
