Step,Train Loss,Eval Loss,Accuracy,F1
4202,0.158900,0.224847,0.919617,0.913330
8404,0.308700,0.192232,0.935582,0.932584
12606,0.217800,0.219186,0.941969,0.939364
16808,0.255700,0.207931,0.948771,0.945228
21010,0.298000,0.259813,0.946134,0.942236
25212,0.005000,0.308163,0.948216,0.945742
29414,0.066700,0.326928,0.951131,0.947972
33616,0.000100,0.384752,0.951548,0.949027
37818,0.000000,0.401674,0.952381,0.949276
42020,0.000000,0.424807,0.953353,0.950458
