Step,Train Loss,Eval Loss,Accuracy,F1
4202,0.000000,0.028652,0.996252,0.996049
8404,0.000000,0.009090,0.998473,0.998387
12606,0.000000,0.003084,0.999306,0.999267
16808,0.000000,0.006699,0.999028,0.998974
21010,0.000000,0.006783,0.999445,0.999414
25212,0.000000,0.009653,0.999445,0.999414
29414,0.000000,0.013545,0.999306,0.999267
33616,0.000000,0.018760,0.999306,0.999267
37818,0.000000,0.012647,0.999445,0.999414
42020,0.000000,0.012955,0.999445,0.999414
