Step,Train Loss,Eval Loss,Accuracy,F1
4202,0.000100,0.037788,0.992781,0.992374
8404,0.000000,0.044097,0.993891,0.993547
12606,0.000000,0.053543,0.994308,0.993995
16808,0.000000,0.041921,0.994308,0.993979
21010,0.000000,0.063095,0.993336,0.992945
25212,0.000700,0.038035,0.994586,0.994275
29414,0.000000,0.049486,0.995557,0.995302
33616,0.000000,0.046723,0.995696,0.995450
37818,0.000000,0.069512,0.995002,0.994713
42020,0.000000,0.045171,0.996252,0.996039
